,phrase,label,sentiment,subjectivity,language,count
Landkreis Passau,,,,,,
lhe,,,,,,
Mitteldeutschland,,,,,,
Tem…,,,,,,
Landesteilen,,,,,,
La…,,,,,,
Straße,,,,,,
s…,,,,,,
Niederösterreichs,,,,,,
Sonne am Tag,,,,,,
Geosphere-Prognose,,,,,,
Fest,,,,,,
Jo-Jo,,,,,,
Nebel im Rheintal,,,,,,
Super-Grizzlys,,,,,,
Staatstheater Mainz,,,,,,
Mainz,,,,,,
Erfurt,,,,,,
Zwischenstopp,,,,,,
Paris,,,,,,
Hirschhorn-Tunnel,,,,,,
Wiesbaden,,,,,,
Kreis Gießen,,,,,,
Wetter-App,,,,,,
Bären-Safari,,,,,,
Belgorod,,,,,,
British Columbia,,,,,,
Saporischschja,,,,,,
Behördenangaben,,,,,,
Donezk,,,,,,
Militärkanal Deep State,,,,,,
US-Präsident,,,,,,
Ölterminal,,,,,,
Trump-Treffen,,,,,,
Ungarn,,,,,,
Feldberg w…,,,,,,
Feldberg,,,,,,
Staualarm,,,,,,
Stau,,,,,,
Felssturz am Rubihorn,,,,,,
Nordseeinseln,,,,,,
Brocken,,,,,,
Holzhandel,,,,,,
Bundesstraße 45,,,,,,
Südhessen,,,,,,
Groß-Umstadt,,,,,,
Lkw-Brand,,,,,,
A3,,,,,,
Hanauer Tafel,,,,,,
Morgenstunden,,,,,,
Sichtweit…,,,,,,
Britischen Inseln,,,,,,
Essen,,,,,,
Bodennähe,,,,,,
k…,,,,,,
Steuer,,,,,,
Baden-Württemberg te,,,,,,
Stau-Alarm,,,,,,
Militärhauptquartier,,,,,,
Tass,,,,,,
Alpengebiet,,,,,,
Abblendlicht,,,,,,
Berl…,,,,,,
Gegenvorwürfe,,,,,,
Fährfrau,,,,,,
Unfallrisiko,,,,,,
Oberösterreich,,,,,,
Verkehrsunfällen,,,,,,
Oberösterreichs,,,,,,
Ostbrandenburg,,,,,,
Salzburg,,,,,,
Licht-Fallen,,,,,,
Odessa,,,,,,
Nebelleuchten,,,,,,
Kammerjäger,,,,,,
Hamburg,,,,,,
Fulda,,,,,,
Kreis Offenbach,,,,,,
Samstagabend,,,,,,
Alpenrand,,,,,,
Weihnachtsmarkt,,,,,,
Franken,,,,,,
Wetterwoche,,,,,,
Mainz/Saarbrücken,,,,,,
Potsdam/Berlin,,,,,,
Gepäck,,,,,,
Tschernihiw,,,,,,
Wagner-Flagge,,,,,,
Narva,,,,,,
Bremer Flughafen,,,,,,
Garmisch,,,,,,
Südtirol,,,,,,
Ortler-Gebirge,,,,,,
Lärchen,,,,,,
Brüssel,,,,,,
Hochlagen,,,,,,
Mond,,,,,,
Donau-Nebel,,,,,,
Novemberwetter in,,,,,,
Vogtland,,,,,,
Altersheim,,,,,,
Gamingprozessoren,,,,,,
Potsdam,,,,,,
bb,,,,,,
Meteorologen,,,,,,
Jänner,,,,,,
